"sektor","kön","månad","tabellinnehåll","Antal pågående anställningar"
"samtliga sektorer","män","2016M06","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2016M06","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2016M06","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2016M07","Antal pågående anställningar",..
"samtliga sektorer","män","2016M07","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2016M07","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2016M07","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2016M07","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2016M07","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2016M08","Antal pågående anställningar",..
"samtliga sektorer","män","2016M08","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2016M08","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2016M08","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2016M08","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2016M08","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2016M09","Antal pågående anställningar",..
"samtliga sektorer","män","2016M09","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2016M09","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2016M09","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2016M09","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2016M09","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2016M10","Antal pågående anställningar",..
"samtliga sektorer","män","2016M10","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2016M10","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2016M10","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2016M10","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2016M10","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2016M11","Antal pågående anställningar",..
"samtliga sektorer","män","2016M11","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2016M11","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2016M11","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2016M11","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2016M11","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2016M12","Antal pågående anställningar",..
"samtliga sektorer","män","2016M12","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2016M12","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2016M12","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2016M12","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2016M12","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2017M01","Antal pågående anställningar",..
"samtliga sektorer","män","2017M01","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2017M01","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2017M01","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2017M01","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2017M01","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2017M02","Antal pågående anställningar",..
"samtliga sektorer","män","2017M02","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2017M02","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2017M02","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2017M02","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2017M02","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2017M03","Antal pågående anställningar",..
"samtliga sektorer","män","2017M03","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2017M03","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2017M03","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2017M03","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2017M03","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2017M04","Antal pågående anställningar",..
"samtliga sektorer","män","2017M04","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2017M04","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2017M04","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2017M04","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2017M04","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2017M05","Antal pågående anställningar",..
"samtliga sektorer","män","2017M05","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2017M05","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2017M05","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2017M05","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2017M05","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2017M06","Antal pågående anställningar",..
"samtliga sektorer","män","2017M06","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2017M06","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2017M06","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2017M06","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2017M06","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2017M07","Antal pågående anställningar",..
"samtliga sektorer","män","2017M07","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2017M07","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2017M07","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2017M07","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2017M07","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2017M08","Antal pågående anställningar",..
"samtliga sektorer","män","2017M08","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2017M08","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2017M08","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2017M08","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2017M08","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2017M09","Antal pågående anställningar",..
"samtliga sektorer","män","2017M09","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2017M09","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2017M09","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2017M09","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2017M09","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2017M10","Antal pågående anställningar",..
"samtliga sektorer","män","2017M10","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2017M10","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2017M10","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2017M10","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2017M10","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2017M11","Antal pågående anställningar",..
"samtliga sektorer","män","2017M11","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2017M11","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2017M11","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2017M11","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2017M11","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2017M12","Antal pågående anställningar",..
"samtliga sektorer","män","2017M12","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2017M12","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2017M12","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2017M12","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2017M12","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2018M01","Antal pågående anställningar",..
"samtliga sektorer","män","2018M01","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2018M01","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2018M01","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2018M01","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2018M01","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2018M02","Antal pågående anställningar",..
"samtliga sektorer","män","2018M02","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2018M02","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2018M02","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2018M02","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2018M02","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2018M03","Antal pågående anställningar",..
"samtliga sektorer","män","2018M03","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2018M03","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2018M03","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2018M03","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2018M03","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2018M04","Antal pågående anställningar",..
"samtliga sektorer","män","2018M04","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2018M04","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2018M04","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2018M04","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2018M04","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2018M05","Antal pågående anställningar",..
"samtliga sektorer","män","2018M05","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2018M05","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2018M05","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2018M05","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2018M05","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2018M06","Antal pågående anställningar",..
"samtliga sektorer","män","2018M06","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2018M06","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2018M06","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2018M06","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2018M06","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2018M07","Antal pågående anställningar",..
"samtliga sektorer","män","2018M07","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2018M07","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2018M07","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2018M07","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2018M07","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2018M08","Antal pågående anställningar",..
"samtliga sektorer","män","2018M08","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2018M08","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2018M08","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2018M08","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2018M08","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2018M09","Antal pågående anställningar",..
"samtliga sektorer","män","2018M09","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2018M09","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2018M09","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2018M09","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2018M09","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2018M10","Antal pågående anställningar",..
"samtliga sektorer","män","2018M10","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2018M10","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2018M10","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2018M10","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2018M10","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2018M11","Antal pågående anställningar",..
"samtliga sektorer","män","2018M11","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2018M11","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2018M11","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2018M11","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2018M11","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2018M12","Antal pågående anställningar",..
"samtliga sektorer","män","2018M12","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2018M12","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2018M12","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2018M12","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2018M12","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2019M01","Antal pågående anställningar",..
"samtliga sektorer","män","2019M01","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2019M01","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2019M01","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2019M01","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2019M01","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2019M02","Antal pågående anställningar",..
"samtliga sektorer","män","2019M02","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2019M02","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2019M02","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2019M02","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2019M02","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2019M03","Antal pågående anställningar",..
"samtliga sektorer","män","2019M03","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2019M03","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2019M03","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2019M03","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2019M03","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2019M04","Antal pågående anställningar",..
"samtliga sektorer","män","2019M04","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2019M04","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2019M04","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2019M04","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2019M04","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2019M05","Antal pågående anställningar",..
"samtliga sektorer","män","2019M05","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2019M05","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2019M05","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2019M05","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2019M05","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2019M06","Antal pågående anställningar",..
"samtliga sektorer","män","2019M06","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2019M06","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2019M06","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2019M06","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2019M06","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2019M07","Antal pågående anställningar",..
"samtliga sektorer","män","2019M07","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2019M07","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2019M07","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2019M07","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2019M07","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2019M08","Antal pågående anställningar",..
"samtliga sektorer","män","2019M08","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2019M08","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2019M08","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2019M08","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2019M08","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2019M09","Antal pågående anställningar",..
"samtliga sektorer","män","2019M09","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2019M09","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2019M09","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2019M09","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
